Algorithm;Purity;F_Score;Rand_Index;NMI
Time Series K-Means;0,57129562;0,624861489;0,51239556;0,040740059
Euclid K-Means;0,51459854;0,620223369;0,499970003;0,001339382
Pearson K-Means;0,51459854;0,622317201;0,499970003;0,001401493
City Block K-Means;0,678439781;0,72152331;0,637524798;0,248742946
Cosine K-Means;0,51459854;0,622317201;0,499970003;0,001401493
DTW K-Means;0,510072993;0,593938404;0,499746592;0,0004417
DTW K-Medoids;0,510948905;0,603176849;0,499783355;0,000579065
Euclid K-Medoids;0,51459854;0,622317201;0,499970003;0,001401493
