Algorithm;Purity;F_Score;Rand_Index;NMI
Time Series K-Means;0,607535545;0,620895227;0,638603024;0,271419402
Euclid K-Means;0,565924171;0,587779848;0,607749041;0,258257701
Pearson K-Means;0,565308057;0,585057386;0,605330174;0,262193164
City Block K-Means;0,57943128;0,607766194;0,630229294;0,276596756
Cosine K-Means;0,565308057;0,585057386;0,605330174;0,262193164
DTW K-Means;0,589810427;0,599034165;0,63150079;0,24094861
DTW K-Medoids;0,588056872;0,588809678;0,627227262;0,260555797
Euclid K-Medoids;0,570236967;0,59685999;0,614284812;0,271528738
