Algorithm;Purity;F_Score;Rand_Index;NMI
Time Series K-Means;0,711428571;0,740902869;0,800263835;0,62046674
Euclid K-Means;0,619732143;0,643951615;0,73789897;0,434269448
Pearson K-Means;0,619285714;0,645743903;0,737889318;0,440086309
City Block K-Means;0,659375;0,683934856;0,761015122;0,494492705
Cosine K-Means;0,619285714;0,645743903;0,737889318;0,440086309
DTW K-Means;0,574196429;0,617547639;0,660217181;0,402113367
DTW K-Medoids;0,696428571;0,748823005;0,787323037;0,630183363
Euclid K-Medoids;0,623392857;0,650082077;0,732833012;0,424862644
