Algorithm;Purity;F_Score;Rand_Index;NMI
Time Series K-Means;0,651414027;0,650444788;0,564724151;0,099148309
Euclid K-Means;0,516606335;0,516587819;0,500001691;0,000818773
Pearson K-Means;0,515395928;0,515382646;0,499914037;0,000692331
City Block K-Means;0,505045249;0,505015172;0,499499905;9,53892E-05
Cosine K-Means;0,515395928;0,515382646;0,499914037;0,000692331
DTW K-Means;0,57459276;0,587454768;0,512643292;0,024396051
DTW K-Medoids;0,624174208;0,618802245;0,532767381;0,060236087
Euclid K-Medoids;0,516968326;0,516967708;0,500010249;0,000830939
